,qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
192,9.0,2,2.5008455467869224,1,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
193,1.0,1,2.5008455467869224,1,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
194,31.0,2,7.0,1,1.0,3.0,2.0,2.0,2018.0,1.0,3.0
195,15.0,2,7.0,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
196,14.0,2,2.5008455467869224,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
197,20.0,2,7.0,97,6.0,2.0,2.0,1.0,2014.0,1.0,3.0
198,45.0,2,5.0,97,1.0,3.0,1.0,2.0,2014.0,1.0,1.0
199,10.0,1,2.5008455467869224,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
200,23.0,1,4.0,97,5.0,3.0,1.0,2.0,2018.0,1.0,1.0
201,998.0,1,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
202,998.0,1,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
203,53.0,2,1.0,6,1.0,3.0,1.0,2.0,2018.0,1.0,1.0
204,57.0,1,1.0,6,2.0,3.0,1.0,2.0,2018.0,1.0,1.0
205,998.0,2,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
206,56.0,1,4.0,5,5.0,3.0,1.0,1.0,2014.0,1.0,1.0
207,56.0,1,7.0,22,6.0,3.0,1.0,1.0,2018.0,1.0,1.0
208,59.0,2,1.0,22,5.0,3.0,1.0,1.0,2018.0,1.0,1.0
209,25.0,1,4.0,97,5.0,3.0,1.0,8.0,2015.0,1.0,3.0
210,23.0,1,4.0,97,5.0,8.0,1.0,1.0,2015.0,999.0,3.0
211,998.0,2,9.0,97,1.0,4.0,1.0,1.0,2015.0,1.0,1.0
212,42.0,2,2.0,9,5.0,3.0,2.0,1.0,2017.0,3.0,1.0
213,23.0,1,1.0,3,1.0,2.0,1.0,1.0,2015.0,1.0,1.0
214,998.0,2,2.5008455467869224,98,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
215,9.0,2,2.5008455467869224,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
216,42.0,1,1.0,99,6.0,1.0,9.0,2.0,2015.0,1.0,1.0
217,998.0,2,2.5008455467869224,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
218,25.0,1,4.0,6,5.0,1.0,2.0,1.0,2016.0,2.0,1.0
219,998.0,1,4.0,97,5.0,1.0,2.0,2.0,2016.0,1.0,1.0
220,75.0,2,5.0,10,1.0,4.0,1.0,1.0,2014.0,1.0,3.0
221,52.0,1,1.0,10,5.0,3.0,1.0,2.0,2014.0,1.0,1.0
222,22.0,1,4.0,10,1.0,1.0,1.0,1.0,2014.0,1.0,2.0
223,38.0,2,1.0,26,1.0,4.0,1.0,2.0,2017.0,2.0,2.0
224,50.0,1,1.0,26,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
225,14.0,2,2.5008455467869224,26,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
226,55.0,1,5.0,18,5.0,3.0,1.0,1.0,2016.0,1.0,3.0
227,23.0,1,1.0,18,5.0,2.0,1.0,1.0,2016.0,1.0,3.0
228,28.0,2,1.0,18,5.0,3.0,1.0,1.0,2016.0,1.0,2.0
229,25.0,1,1.0,18,5.0,2.0,1.0,1.0,2016.0,1.0,1.0
230,29.0,1,4.0,6,5.0,2.0,2.0,1.0,2018.0,1.0,1.0
231,26.0,2,4.0,6,1.0,3.0,1.0,1.0,2017.0,2.0,1.0
232,998.0,2,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
233,998.0,1,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
234,998.0,1,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
235,998.0,2,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
236,47.0,1,1.0,10,2.0,3.0,1.0,1.0,2015.0,1.0,1.0
237,41.0,2,1.0,10,2.0,3.0,1.0,1.0,2015.0,1.0,3.0
238,39.0,2,1.0,97,1.0,3.0,1.0,2.0,2015.0,2.0,3.0
239,8.0,1,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
